,,,,,,,,
PROVINCE,PHYSICAL TOWN,PHYSICAL SUBURB,PHYSICAL ADDRESS,PRACTICE NAME,PRACTICE TYPE,PRACTICE TYPE DESCRIPTION,PRACTICE  NUMBER,CONTACT NUMBER
GAUTENG,FLORIDA,FLORIDA PARK,51 MULDER STREET 1709,SR LEA SUB-ACUTE FLORIDA,49,SUB ACUTE FACILITIES,0650757,0114755743
GAUTENG,GERMISTON,SYMHURST,CNR CASTOR & ST JOSEPHS STREET 1401,ROSEACRES CLINIC,58,HOSPITALS - PRIVATE,5806968,0118427500
GAUTENG,HALFWAY HOUSE,GLEN AUSTIN,21 DANE ROAD 1685,CARSTENHOF CLINIC,58,HOSPITALS - PRIVATE,5808170,0116555500
GAUTENG,HALFWAY HOUSE,GLEN AUSTIN,21 DANE ROAD 1685,LIFE CARSTENVIEW,55,MENTAL HEALTH INSTITUTIONS,0913480,0116555500
GAUTENG,HALFWAY HOUSE,MIDSTREAM ESTATE,1ST FLOOR RETIRE MIDSTREAM 1 MADELEIN STREET 1692,CARE MIDSTREAM,49,SUB ACUTE FACILITIES,0423564,0129409380
GAUTENG,HALFWAY HOUSE,MIDSTREAM ESTATE,CNR MIDSTREAM DRIVE & MIDSTREAM HILL BOULEVARD 1692,MEDICLINIC MIDSTREAM HOSPITAL,58,HOSPITALS - PRIVATE,0579068,0126529000
GAUTENG,HEIDELBERG,HEIDELBERG,SUIKERBOSRAND CLINIC CNR HF VERWOERD & MARE STREET 1441,SUIKERBOSRAND CLINIC,58,HOSPITALS - PRIVATE,5808987,0114222016
GAUTENG,JOHANNESBURG,AUCKLAND PARK,2 BUNTING ROAD 2092,NETCARE REHABILITATION HOSPITAL,59,PRIVATE REHAB HOSPITAL (ACUTE),0320102,0114891126
GAUTENG,JOHANNESBURG,BEDFORD GARDENS,7 LEICESTER ROAD 2007,BEDFORD GARDENS PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,5808316,0116778500
GAUTENG,JOHANNESBURG,BELLEVUE EAST,43 JOLLY STREET 2198,CLAYTON HOUSE,49,SUB ACUTE FACILITIES,0265004,0110231240
GAUTENG,JOHANNESBURG,BROMHOF,CNR PRESIDENT FOUCHE DRIVE & HAWKEN AVENUE 2188,AKESO CRESCENT CLINIC,55,MENTAL HEALTH INSTITUTIONS,0165034,0117929400
GAUTENG,JOHANNESBURG,BRYANSTON,201 ECCLESTON CRESCENT 2191,BRYANSTON SUB-ACUTE (PTY)LTD,49,SUB ACUTE FACILITIES,0655775,0114636727
GAUTENG,JOHANNESBURG,BRYANSTON,CNR NURSERY LANE & PETER PLACE 2191,MEDFEM CLINIC,57,HOSPITALS - PRIVATE,5709199,0123688885
GAUTENG,JOHANNESBURG,BRYANSTON,CNR MAIN ROAD & PETER PLACE 2191,MEDICLINIC SANDTON,58,HOSPITALS - PRIVATE,5805139,0117092000
GAUTENG,JOHANNESBURG,FERNDALE,432 YORK AVENUE 2194,HOUGHTON HOUSE GROUP,47,DRUG AND ALCOHOL REHABILITATION,0231975,0117899142
GAUTENG,JOHANNESBURG,FLORIDA,9 MADELINE STREET 1709,WESTVIEW CLINIC FLORIDA,47,DRUG AND ALCOHOL REHABILITATION,0930628,0114727707
GAUTENG,JOHANNESBURG,FOURWAYS,CNR CEDAR ROAD & CEDAR AVENUE WEST 2191,FOURWAYS HOSPITAL,58,HOSPITALS - PRIVATE,0227277,0118751000
GAUTENG,JOHANNESBURG,JOHANNESBURG,"121 ELOFF STREET, EXT SELBY PARK 2000",CLINIX FOUNDATION,47,DRUG AND ALCOHOL REHABILITATION,1139231,0114914100
GAUTENG,JOHANNESBURG,JOHANNESBURG,56 CNR VON WIELLIGH STREET & ALBERTINA SISULU ROAD 2001,DR G M PITJE DAY HOSPITAL,77,CLINICS - DAY SURGERY,0905445,0101332222
GAUTENG,JOHANNESBURG,KENSINGTON,LIFE NEW KENSINGTON CLINIC 23 ROBERTS AVENUE 2094,NEW KENSINGTON CLINIC,59,PRIVATE REHAB HOSPITAL (ACUTE),0077941,0112199650
GAUTENG,JOHANNESBURG,KENSINGTON,23 ROBERTS AVENUE 2094,NEW KENSINGTON CLINIC,49,SUB ACUTE FACILITIES,0128341,0115384700
GAUTENG,JOHANNESBURG,LINBRO PARK,LONG LAKE EXT 12 4 CRANSLEY CRESCENT & ON MARLBORO DRIVE 2090,BUSAMED MODDERFONTEIN PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,0651168,0219171956
GAUTENG,JOHANNESBURG,LYNDHURST,RON SMITH CARE CENTRE 222 MODDERFONTEIN ROAD 2192,RAND AID ASSOCIATION,47,DRUG AND ALCOHOL REHABILITATION,0051500,0118822510
GAUTENG,JOHANNESBURG,MELROSE ARCH,33 BRUCE STREET 2001,RH RAND CLINIC,55,MENTAL HEALTH INSTITUTIONS,0834394,0116442700
GAUTENG,JOHANNESBURG,NORTHCLIFF,216 WELTEVREDEN ROAD 2195,C H A N G E S TREATMENT CENTRES,47,DRUG AND ALCOHOL REHABILITATION,0537861,0114780601
GAUTENG,JOHANNESBURG,NORTHCLIFF,1ST FLOOR JOHANNESBURG EYE HOSPITAL CNR BEYERS NAUDE DRIVE & WAUGH AVENUE 2195,NORTHCLIFF MEDWEDGE SUB-ACUTE,49,SUB ACUTE FACILITIES,0511056,0116702400
GAUTENG,JOHANNESBURG,NORTHCLIFF EXT 15,20 NEVADA DRIVE 21954,CIRCLE OF LIFE RECOVERY CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0558427,0763321758
GAUTENG,JOHANNESBURG,OAKLANDS,41 PRETORIA STREET 2192,THE FOUNDATION CLINIC,47,DRUG AND ALCOHOL REHABILITATION,0281360,0117288054
GAUTENG,JOHANNESBURG,ORANGE GROVE,4 THELMA CRESCENT 2119,CIRCLEHEALTH CARE,49,SUB ACUTE FACILITIES,0447366,0100012625
GAUTENG,JOHANNESBURG,ORCHARDS,25 GARDEN ROAD 2192,AIRTIME CONNECTIONS,49,SUB ACUTE FACILITIES,0420972,0114833743
GAUTENG,JOHANNESBURG,PARKTOWN,6 JUNCTION AVENUE 2193,AKESO CLINIC PARKTOWN,55,MENTAL HEALTH INSTITUTIONS,0455040,0870980458
GAUTENG,JOHANNESBURG,PARKTOWN,4 PARK LANE 2193,BRENTHURST CLINIC,58,HOSPITALS - PRIVATE,5803349,0116479000
GAUTENG,JOHANNESBURG,PARKTOWN,6 JUBILEE ROAD 2193,NELSON MANDELA CHILDREN'S HOSPITAL,57,HOSPITALS - PRIVATE,0782513,0124601881
GAUTENG,JOHANNESBURG,PARKTOWN,21 ETON ROAD 2193,WITS UNIVERSITY DONALD GORDON MEDICAL CENTRE (PTY) LTD,58,HOSPITALS - PRIVATE,5806682,0113566327
GAUTENG,JOHANNESBURG,RANDBURG,432 YORK AVENUE 2194,HOUGHTON HOUSE GROUP OF TREATMENT CENTRES,55,MENTAL HEALTH INSTITUTIONS,1121421,0117879194
GAUTENG,JOHANNESBURG,SAXONWOLD,OXFORD HEALTHCARE CENTRE 75 OXFORD ROAD 2196,THE DAY CLINIC,55,MENTAL HEALTH INSTITUTIONS,0735663,0210072940
GAUTENG,JOHANNESBURG,SELBY,121 ELOFF STREET 2001,CLINIX SELBY PARK HOSPITAL (RAND MUTUAL),57,HOSPITALS - PRIVATE,0137286,0114914100
GAUTENG,KEMPTON PARK,KEMPTON PARK,18 MONUMENT ROAD 1619,EKURHULENI SURGIKLIN DAY CLINIC,77,CLINICS - DAY SURGERY,0637459,0870980660
GAUTENG,KEMPTON PARK,SPARTAN,133 PLANE ROAD 1619,ELIM CLINIC,47,DRUG AND ALCOHOL REHABILITATION,0037877,0119752951
GAUTENG,KRUGERSDORP,KRUGERSDORP,060 HUMAN STREET 1739,EXECU-MED SUB-ACUTE,49,SUB ACUTE FACILITIES,0655767,0104476508
GAUTENG,KRUGERSDORP,NOORDHEUWEL,CNR BELL DRIVE & SHANNON ROAD 1739,RH BELL CLINIC,55,MENTAL HEALTH INSTITUTIONS,0831646,0102009745
GAUTENG,LENASIA,LENASIA EXT 8,LENMED MEDICAL CENTRE K43 HIGHWAY 1827,LENMED HEALTH AHMED KATHRADA PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,5808324,0870870642
GAUTENG,LENASIA,LENASIA EXT 9,NISHTARA ALCOHOL & DRUG CENTRE 8283 CAPELLA STREET 1827,NISHTARA LODGE,47,DRUG AND ALCOHOL REHABILITATION,0299693,0118545988
GAUTENG,LENASIA,LENASIA SOUTH,STAND 1682 IMPALA STREET 1829,LENMED HEALTH DAXINA PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,0490296,0112132019
GAUTENG,MABOPANE,MABOPANE,LUCAS MAGOPE HIGHWAY 0190,MEDICLINIC LEGAE,58,HOSPITALS - PRIVATE,5808499,0127978024
GAUTENG,MENLO PARK,GARSFONTEIN,745 HANNARIE ROAD,THE WAY RECOVERY (PTY) LTD,47,DRUG AND ALCOHOL REHABILITATION,1041177,0120300323
GAUTENG,MENLO PARK,GARSFONTEIN,786 DROSTDY ROAD,THE WAY RECOVERY (PTY) LTD,47,DRUG AND ALCOHOL REHABILITATION,1041231,0120300323
GAUTENG,MENLO PARK,GARSFONTEIN EXT 16,507 LANCELOT ROAD,DENMAR SPECIALIST PSYCHIATRIC HOSPITAL,55,MENTAL HEALTH INSTITUTIONS,5500001,0129986062
GAUTENG,MENLO PARK,LYNNWOOD,315 THE HILLSIDE STREET 0081,LYNNMED CLINIC,49,SUB ACUTE FACILITIES,0523933,0123484995
GAUTENG,MEYERTON,DE DEUR,BALMORAL ESTATE CNR 1ST & EAST ROAD 1884,PRODIGAL MINISTRIES WALKING WITH WINNERS,47,DRUG AND ALCOHOL REHABILITATION,0671568,0165901036
GAUTENG,MIDRAND,OLIFANTSFONTEIN,FIRST FLOOR MIDSTREAM HILL MEDICAL PARK 155 MIDHILL BOULEVARD 1666,EVEXIA MIDSTREAM COMMUNITY MENTAL HEALTH CARE DAY CENTRE,55,MENTAL HEALTH INSTITUTIONS,0810711,0123488200
GAUTENG,MOOT,ELOFFSDAL,353B BOOYSEN STREET 0084,MOTHWA MED-STEP CLINIC TRUST,49,SUB ACUTE FACILITIES,0111619,0123357596
GAUTENG,NIGEL,NIGEL,"PLOT 80, HOLGATFONTEIN 1491",FREEDOM RECOVERY CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0531243,0784654243
GAUTENG,PRETORIA,ARCADIA,871 FRANCIS BAARD STREET 0083,AKESO ARCADIA,55,MENTAL HEALTH INSTITUTIONS,0726419,0870980459
GAUTENG,PRETORIA,ARCADIA,551 PARK STREET 0083,MEDICLINIC HEART HOSPITAL,58,HOSPITALS - PRIVATE,5808634,0124400200
GAUTENG,PRETORIA,ARCADIA,412 FRANCIS BAARD STREET 0083,MEDICLINIC MEDFORUM,58,HOSPITALS - PRIVATE,5807867,0123176934
GAUTENG,PRETORIA,ARCADIA,577 PRETORIUS STREET 0083,MEDICLINIC MUELMED,58,HOSPITALS - PRIVATE,5808065,0124400600
GAUTENG,PRETORIA,BROOKLYN,BROOKLYN MEDPARK 154 OLIVIER STREET 0181,BROOKLYN SURGICAL CENTRE,77,CLINICS - DAY SURGERY,7700318,0124330860
GAUTENG,PRETORIA,DIE WILGERS,FIRST FLOOR 553 DENNEBOOM ROAD 0184,WILGERS HOSPITAL,58,HOSPITALS - PRIVATE,5808650,0128078190
GAUTENG,PRETORIA,ERASMUSKLOOF EXT 3,511 JOCHEMUS STREET  0181,MEDICLINIC KLOOF,58,HOSPITALS - PRIVATE,0120928,0123674021
GAUTENG,PRETORIA,FAERIE GLEN,588 GRAAFF REINET STREET 0081,FAERIE GLEN SUB-ACUTE,49,SUB ACUTE FACILITIES,0931446,0845825580
GAUTENG,PRETORIA,FAERIE GLEN,CNR ATTERBURY ROAD & OBERON AVENUE  0081,LIFE FAERIE GLEN HOSPITAL,57,HOSPITALS - PRIVATE,5708257,0123695666
GAUTENG,PRETORIA,GROENKLOOF,19 GEORGE STORRAR DRIVE 0181,GROENKLOOF HEALTHCARE FACILITY,49,SUB ACUTE FACILITIES,0094390,0123460103
GAUTENG,PRETORIA,GROENKLOOF,50 GEORGE STORRAR DRIVE 0181,LITTLE COMPANY OF MARY,58,HOSPITALS - PRIVATE,5804043,0124529400
GAUTENG,PRETORIA,IRENE,SOUTHDOWNS SHOPPING CENTRE CNR JOHN VORSTER DRIVE & KAREE STREET 0157,INTERCARE SUBACUTE & REHABILITATION HOSPITAL IRENE,49,SUB ACUTE FACILITIES,0492256,0129412600
GAUTENG,PRETORIA,LES MARAIS,696 5TH AVENUE 0084,EUGENE MARAIS HOSPITAL,58,HOSPITALS - PRIVATE,5806615,0123342592
GAUTENG,PRETORIA,LES MARAIS,695 5TH AVENUE 0084,EUGENE MARAIS REHABILITATION UNIT,59,PRIVATE REHAB HOSPITAL (ACUTE),0231991,0112199650
GAUTENG,PRETORIA,MENLYN,BUILDING 7 GLEN MANOR OFFICE PARK 134 FRIKKIE DE BEER STREET 0181,EVEXIA MENLYN,55,MENTAL HEALTH INSTITUTIONS,0677302,0123488200
GAUTENG,PRETORIA,MONTANA,900 KLIPPAN STREET 0182,MONTAMED SORGSENTRUM,49,SUB ACUTE FACILITIES,0146196,0125477365
GAUTENG,PRETORIA,MOREGLOED,1229 HAARHOFF EAST STREET 0186,STABILIS TREATMENT CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0043494,0123337702
GAUTENG,PRETORIA,NINAPARK,CASTLE CAREY CLINIC CNR BRITS & WATERBOK STREET 0182,SANCA PRETORIA SOCIETY,47,DRUG AND ALCOHOL REHABILITATION,0106593,0125421121
GAUTENG,PRETORIA,PRETORIA,607 VIEW STREET 2194,CROSSROADS RECOVERY CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0963100,0848400079
GAUTENG,PRETORIA,PRETORIA,44 CHARLES BRAMLEY STREET NIEUW MUCKLENEUK 0181,GREENTREE SUB-ACUTE AND REHAB FACILITY,49,SUB ACUTE FACILITIES,0959073,0108231630
GAUTENG,PRETORIA,PRETORIA,HAZELDEAN OFFICE PARK SILVERLAKES ROAD 0081,INTERCARE DAY HOSPITAL HAZELDEAN,77,CLINICS - DAY SURGERY,0472395,0128800700
GAUTENG,PRETORIA,PRETORIA,PLOT 102 0002,THE GUARDIAN PROJECT MINISTRY,47,DRUG AND ALCOHOL REHABILITATION,0598585,0797316536
GAUTENG,PRETORIA,PRETORIA NORTH,260 BURGER STREET 0182,PRETORIA NORTH DAY CLINIC,77,CLINICS - DAY SURGERY,7700156,0112199429
GAUTENG,PRETORIA,PRETORIA WEST,1 REBECCA STREET 0183,FISHA WELLNESS HOSPITAL,55,MENTAL HEALTH INSTITUTIONS,0543756,0128300010
GAUTENG,PRETORIA,QUEENSWOOD,1244 WEBB ROAD 0186,HERFSMED CLINIC,49,SUB ACUTE FACILITIES,0094021,0123334445
GAUTENG,PRETORIA,SILVER LAKES,HAZELDEAN OFFICE PARK SILVERLAKES ROAD 0081,INTERCARE SUB-ACUTE HOSPITAL HAZELDEAN (PTY) LTD,49,SUB ACUTE FACILITIES,0472964,0128800700
GAUTENG,PRETORIA,SUIDERBERG,"723 SAREL ROAD, ERF 570 0082",MPUDULLE EYE CENTRE,77,CLINICS - DAY SURGERY,1084526,0128803999
GAUTENG,PRETORIA,WATERKLOOF,607 VIEW STREET 0181,CROSSROADS RECOVERY CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0478555,0123451188
GAUTENG,PRETORIA,ZWAVELPOORT,PLOT 122 ACHILLES ROAD 0081,ZWAVELSTREAM CLINIC,55,MENTAL HEALTH INSTITUTIONS,0719048,0104750150
GAUTENG,RANDBURG,RANDBURG,PORTION 34 NIETGEDACHT 34 SOUTHERNWOODS ROAD 2194,RIVERFIELD LODGE,59,PRIVATE REHAB HOSPITAL (ACUTE),0011614,0112199650
GAUTENG,RANDBURG,RANDBURG,PORTION 34 NIETGEDACHT 34 SOUTHERNWOODS ROAD 2194,RIVERFIELD LODGE,55,MENTAL HEALTH INSTITUTIONS,5500133,0112199664
GAUTENG,RANDBURG,RANDBURG,"54 CONRAD DRIVE, BLAIREGOWRIE 2194",TURNING POINT SUBSTANCE ABUSE TREATMENT CENTRE,47,DRUG AND ALCOHOL REHABILITATION,1097210,0661779363
GAUTENG,RANDFONTEIN,GREENHILLS,WARD STREET 1759,LENMED RANDFONTEIN PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,0674796,0114113000
GAUTENG,RANDFONTEIN,RANDFONTEIN,HOSPITAL ROAD 1759,ROBINSON HOSPITAL,58,HOSPITALS - PRIVATE,5804655,0112788700
GAUTENG,ROODEPOORT,RADIOKOP EXT 13,AMPLIFIER ROAD 1724,WILGEHEUWEL DAY CLINIC,77,CLINICS - DAY SURGERY,0150010,0117966500
GAUTENG,ROODEPOORT,RADIOKOP EXT 13,AMPLIFIER ROAD 1724,WILGEHEUWEL HOSPITAL,58,HOSPITALS - PRIVATE,5808839,0117966500
GAUTENG,ROODEPOORT,ROODEPOORT,"NO 1 THE GALLERY 750 ROBBIN AVENUE, LITTLE FALLS 1735",EAGLES VIEW WELLNESS CENTRE,47,DRUG AND ALCOHOL REHABILITATION,1134892,0795230043
GAUTENG,ROODEPOORT,ROODEPOORT,18 MALCOLM ROAD ROODEPOORT 1725,LIFE POORTVIEW,55,MENTAL HEALTH INSTITUTIONS,0462128,0873522100
GAUTENG,RUSLOO,VOSLOORUS EXT 9,MARIMBA GARDENS 9 SAM SEKOATI AVENUE 1475,CLINIX BOTSHELONG - EMPILWENI PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,5808685,0118616200
GAUTENG,SANDTON,SANDTON,200 REVONIA ROAD 2196,INTERCARE DAY HOSPITAL SANDTON,77,CLINICS - DAY SURGERY,0537756,0108801400
GAUTENG,SAXONWOLD,MORNINGSIDE,CNR RIVONIA & HILL ROAD 2196,MEDICLINIC MORNINGSIDE,58,HOSPITALS - PRIVATE,5807824,0112825000
GAUTENG,SAXONWOLD,MORNINGSIDE,200 RIVONIA ROAD 2196,SANDTON SUB-ACUTE HOSPITAL (PTY) LTD,49,SUB ACUTE FACILITIES,0724556,0123688885
GAUTENG,SEBOKENG,SEBOKENG,2 MOSHOESHOE STREET 1984,CLINIX NALEDI - NKANYEZI PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,5808944,0164203010
GAUTENG,SOSHANGUVE,SOSHANGUVE,ERF 212 BLOCK I A BUITEKANT ROAD 0152,BOTSHILU PRIVATE HOSPITAL (PTY) LTD,58,HOSPITALS - PRIVATE,0556394,0127987000
GAUTENG,SOWETO,DOBSONVILLE,CNR BRAAMFISCHER DRIVE & ELIAS MOTSOALEDI ROAD 1863,CLINIX TSHEPO - THEMBA PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,5808782,0119830300
GAUTENG,SOWETO,TSHIAWELO,35 BRITTLEWOOD STREET 1818,APEX SURGI-CENTRE SOWETO,77,CLINICS - DAY SURGERY,0905038,0101090794
GAUTENG,SPRINGS,POLLAK PARK,ARTEMIS ROAD 1559,LIFE SPRINGS PARKLAND HOSPITAL,59,PRIVATE REHAB HOSPITAL (ACUTE),1025538,0118124000
GAUTENG,SPRINGS,POLLAK PARK,LIFE SPRINGS PARKLAND CLINIC ARTEMIS ROAD 1559,SPRINGS PARKLAND CLINIC,58,HOSPITALS - PRIVATE,5807034,0118124000
GAUTENG,TEMBISA,HOSPITAL VIEW,128 FLINT MAZIBUKO STREET 1632,LENMED ZAMOKUHLE PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,5709180,0119237700
GAUTENG,TSHIAWELO,DLAMINI,2ND FLOOR SOWETO HEALTHCARE HUB 35 BRITLEWOOD STREET 1818,SOWETO LIFE PATH HEALTH HOSPITAL,55,MENTAL HEALTH INSTITUTIONS,0930504,0219747699
GAUTENG,VANDERBIJLPARK,VANDERBIJLPARK,6 JAN VAN RIEBEECK BOULEVARD 1911,MEDICLINIC EMFULENI,58,HOSPITALS - PRIVATE,5808375,0169508000
GAUTENG,VEREENIGING,THREE RIVERS,66 BASHEE STREET 1929,TRIMED MEDICAL CENTRE,49,SUB ACUTE FACILITIES,0096660,0164540510
GAUTENG,VEREENIGING,VEREENIGING,MEDI-VILLAGE COMPLEX CNR GRAY & JOUBERT STREET 1939,CARE CURE VEREENIGING SUB ACUTE,49,SUB ACUTE FACILITIES,0559997,0716063361
GAUTENG,VEREENIGING,VEREENIGING,CNR HOFMEYER AVENUE & JOUBERT STREET  1939,MEDICLINIC VEREENIGING,58,HOSPITALS - PRIVATE,5808081,0164405000
GAUTENG,WATERKLOOF,WATERKLOOF RIDGE,442 KOEDOESNEK AVENUE 0181,THE WAY RECOVERY(PTY) LTD,47,DRUG AND ALCOHOL REHABILITATION,0749699,0120300323
FREE STATE,BETHLEHEM,BETHLEHEM,DE LEEUW STREET 9701,MEDICLINIC HOOGLAND,58,HOSPITALS - PRIVATE,5808707,0583072022
FREE STATE,BETHLEHEM,BETHLEHEM,25 DE LEEUW STREET 9701,MONDIA DIHLABENG WELLNESS CENTRE,55,MENTAL HEALTH INSTITUTIONS,0940615,0583039205
FREE STATE,BLOEMFONTEIN,BAINSVLEI,115 ABRAHAMSVLEI ROAD 9301,MEZITOUCH REHAB CENTRE,47,DRUG AND ALCOHOL REHABILITATION,1141996,0662912820
FREE STATE,BLOEMFONTEIN,BLOEMFONTEIN,54 PASTEUR DRIVE HOSPITAL PARK 9300,AT SPECIALIST HOSPITAL PTY LTD SUB ACUTE,49,SUB ACUTE FACILITIES,1188887,0511012408
FREE STATE,BLOEMFONTEIN,BLOEMFONTEIN,HOSPITAL PARK 17 ADDISON STREET 9301,BLOEMPSYCH (PTY) LTD TRADING AS M-CARE OPTIMA,55,MENTAL HEALTH INSTITUTIONS,0366935,0515021800
FREE STATE,BLOEMFONTEIN,BLOEMFONTEIN,MAZELSPOORT ROAD 9301,BUSAMED BRAM FISCHER INTERNATIONAL AIRPORT HOSPITAL,58,HOSPITALS - PRIVATE,0725935,0514124200
FREE STATE,BLOEMFONTEIN,BLOEMFONTEIN,45 HENRY FAGAN STREET 9301,GALINO HOUSE SUBSTANCE USE DISORDER FACILITY,47,DRUG AND ALCOHOL REHABILITATION,0624020,0515222181
FREE STATE,BLOEMFONTEIN,BLOEMFONTEIN,CNR LOUW WEPENER & GRAAFF-REINET STREET 9301,CITYMED SUB-ACUTE HOSPITAL,49,SUB ACUTE FACILITIES,0990469,0514364320
FREE STATE,BLOEMFONTEIN,BLOEMFONTEIN,STIRLING SMALL HOLDINGS PLOT 3B 9300,STIRLING HOSPITAL-ACUTE REHABILITATION,59,PRIVATE REHAB HOSPITAL (ACUTE),1156853,0511012377
FREE STATE,BLOEMFONTEIN,DAN PIENAAR,1ST FLOOR PRELLER SQUARE CNR LOUW WEPENER & GRAAFF-REINET STREET 9301,CITYMED REHABILITATION HOSPITAL,59,PRIVATE REHAB HOSPITAL (ACUTE),1069594,0514364320
FREE STATE,BLOEMFONTEIN,FICHARDT PARK,57 GUSTAV CRESCENT 9301,ROSEPARK HOSPITAL,58,HOSPITALS - PRIVATE,5808014,0515055345
FREE STATE,BLOEMFONTEIN,GROENVLEI,7 FRANS KLEYNHANS AVENUE 9301,EMOYAMED PRIVATE HOSPITAL PTY LTD - REHABILITATION,59,PRIVATE REHAB HOSPITAL (ACUTE),1176846,0510114040
FREE STATE,BLOEMFONTEIN,GROENVLEI,WOODLAND HILLS WILDLIFE ESTATE 6 WOODLAND HILLS BOULEVARD 9301,HILLANDALE HEALTH CARE CENTRE,49,SUB ACUTE FACILITIES,0351547,0514123300
FREE STATE,BLOEMFONTEIN,GROENVLEI,WOODLAND HILLS WILDLIFE ESTATE 6 WOODLAND HILLS BOULEVARD 9301,HILLANDALE HEALTHCARE CENTRE - ACUTE REHABILITATION,59,PRIVATE REHAB HOSPITAL (ACUTE),0605417,0514123300
FREE STATE,BLOEMFONTEIN,GROENVLEI,WOODLAND HILLS WILDLIFE ESTATE 6 WOODLAND HILLS BOULEVARD 9301,NURTURE WOODLANDS,47,DRUG AND ALCOHOL REHABILITATION,0636657,0514123300
FREE STATE,BLOEMFONTEIN,GROENVLEI,WOODLAND HILLS WILDLIFE ESTATE 6 WOODLAND HILLS BOULEVARD 9301,NURTURE WOODLANDS (MENTAL HEALTH INSTITUTION),55,MENTAL HEALTH INSTITUTIONS,0468029,0514123300
FREE STATE,BLOEMFONTEIN,HOSPITAALPARK,LIFE PASTEUR HOSPITAL 54 PASTEUR DRIVE 9301,PASTEUR EYE HOSPITAL,57,HOSPITALS - PRIVATE,0225681,0515021900
FREE STATE,BLOEMFONTEIN,HOSPITAALPARK,LIFE PASTEUR HOSPITAL 54 PASTEUR DRIVE 9301,PASTEUR HOSPITAL,59,PRIVATE REHAB HOSPITAL (ACUTE),0090263,0112199650
FREE STATE,BLOEMFONTEIN,LANGENHOVENPARK,11 A G VISSER STREET 9301,BLOEMCARE (PTY) LTD,55,MENTAL HEALTH INSTITUTIONS,0287962,0154463242
FREE STATE,BLOEMFONTEIN,NAVAL VIEW,NAVAL VIEW 15 BROMPTON ROAD 9301,AURORA ALCOHOL & DRUG CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0051284,0514474111
FREE STATE,BLOEMFONTEIN,SPITSKOP,STIRLING SMALL HOLDINGS PLOT 3B 9301,STIRLING HOSPITAL,49,SUB ACUTE FACILITIES,0836591,0511012376
FREE STATE,BLOEMFONTEIN,WESTDENE,CNR KELLNER STREET & PARFITT AVENUE 9301,MEDICLINIC BLOEMFONTEIN,58,HOSPITALS - PRIVATE,5808154,0514046113
FREE STATE,BLOEMFONTEIN,WESTDENE,CNR KELLNER STREET & PARFITT AVENUE 9301,MEDICLINIC BLOEMFONTEIN DAY CLINIC,77,CLINICS - DAY SURGERY,0935735,0514046100
FREE STATE,FOURIESBURG,FOURIESBURG,120  SLABBERTSWAG FARM 9725,JERICHO RECOVERY CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0911844,0824930841
FREE STATE,FRANKFORT,FRANKFORT,CNR FRANKFORT & COLLIN STREET 9830,RIEMLAND CLINIC,57,HOSPITALS - PRIVATE,5709105,0588132771
FREE STATE,HARRISMITH,HARRISMITH,CNR VOWE & ALEXANDRA STREET 9880,BUSAMED HARRISMITH PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,0662186,0586243000
FREE STATE,KROONSTAD,KROONSTAD,18 NORTH ROAD 9499,KROON HOSPITAL,58,HOSPITALS - PRIVATE,5808383,0562151881
FREE STATE,WELKOM,ST HELENA,5 LATEGAN ROAD 9459,WELKOM MEDICAL CENTRE SUB-ACUTE HOSPITAL,49,SUB ACUTE FACILITIES,0512532,0579165653
FREE STATE,WELKOM,WELKOM,1 PETRUS BOSCH STREET 9459,GOLDFIELDS HEALTHCARE (PTY) LTD,49,SUB ACUTE FACILITIES,1060481,0574390022
FREE STATE,WELKOM,WELKOM,MEULEN STREET 9459,MEDICLINIC WELKOM,58,HOSPITALS - PRIVATE,5808758,0579165331
FREE STATE,WELKOM,WELKOM,5 LATEGAN STREET 9459,WELKOM MEDICAL CENTRE DAY HOSPITAL,77,CLINICS - DAY SURGERY,0399337,0573522114
EASTERN CAPE,EAST LONDON,BEACON BAY,32 QUENERA DRIVE 5241,LIFE BEACON BAY HOSPITAL,58,HOSPITALS - PRIVATE,0357669,0860467722
EASTERN CAPE,EAST LONDON,BEREA,72 JARVIS ROAD 5241,LILY KIRCHMANN HOME - SUB ACUTE UNIT,49,SUB ACUTE FACILITIES,0173568,0437212230
