,,,,,,,,
PROVINCE,PHYSICAL TOWN,PHYSICAL SUBURB,PHYSICAL ADDRESS,PRACTICE NAME,PRACTICE TYPE,PRACTICE TYPE DESCRIPTION,PRACTICE  NUMBER,CONTACT NUMBER
WESTERN CAPE,CAPE TOWN,MUIZENBERG,SUNRISE BOULEVARD 7945,EVERGREEN SUB-ACUTE MUIZENBERG,49,SUB ACUTE FACILITIES,1019651,0217023200
WESTERN CAPE,CAPE TOWN,NEWLANDS,5TH FLOOR SPORTS SCIENCE INSTITUTE BOUNDARY ROAD 7700,NURTURE NEWLANDS,49,SUB ACUTE FACILITIES,0533580,0216850292
WESTERN CAPE,CAPE TOWN,ORANJEZICHT,21 HOF STREET 8001,MEDICLINIC CAPE TOWN,58,HOSPITALS - PRIVATE,5808995,0214645500
WESTERN CAPE,CAPE TOWN,PINELANDS,OUDE MOLEN ECO VILLAGE  VALKENBERG ESTATE ALEXANDER ROAD 7405,ROBIN TRUST,49,SUB ACUTE FACILITIES,0486094,0214471565
WESTERN CAPE,CAPE TOWN,PINELANDS,ALEXANDRA ROAD 7405,VINCENT PALLOTTI HOSPITAL,55,LIFE HEALTHCARE MENTAL HEALTH,1073656,0215065100
WESTERN CAPE,CAPE TOWN,PINELANDS,ALEXANDRA ROAD 7405,VINCENT PALLOTTI HOSPITAL,58,HOSPITALS - PRIVATE,5801443,0215065124
WESTERN CAPE,CAPE TOWN,PINELANDS,GROUND FLOOR THE PARK PARK ROAD 7405,VINCENT PALLOTTI REHABILITATION CENTRE,59,PRIVATE REHAB HOSPITAL (ACUTE),0437514,0215065360
WESTERN CAPE,CAPE TOWN,PLUMSTEAD,BURNHAM ROAD 7800,MEDICLINIC CONSTANTIABERG,58,HOSPITALS - PRIVATE,5807999,0217992616
WESTERN CAPE,CAPE TOWN,PLUMSTEAD,5 TIVERTON ROAD 7800,THARAGAY MANOR,47,DRUG AND ALCOHOL REHABILITATION,0728861,0514101666
WESTERN CAPE,CAPE TOWN,PLUMSTEAD,5 TIVERTON ROAD 7801,THE CEDARS TREATMENT FACILITIES,47,DRUG AND ALCOHOL REHABILITATION,0943495,0514101666
WESTERN CAPE,CAPE TOWN,RONDEBOSCH,PERBRO HOUSE 85 KLIPFONTEIN ROAD 7770,RONDEBOSCH MEDICAL CENTRE,58,HOSPITALS - PRIVATE,0441279,0216805920
WESTERN CAPE,CAPE TOWN,SEA POINT,4 QUENDON ROAD 8005,SENSO HEALTH,49,SUB ACUTE FACILITIES,1032356,0824152274
WESTERN CAPE,CAPE TOWN,TOKAI,CNR VANS & WINDSOR ROAD 7945,FAIRCAPE HEALTH TOKAI,49,SUB ACUTE FACILITIES,0680958,0218155700
WESTERN CAPE,CAPE TOWN,TOKAI,CNR KEYSERS & MAIN ROAD 7945,MELOMED TOKAI,58,HOSPITALS - PRIVATE,0635243,0217647500
WESTERN CAPE,CAPE TOWN,WYNBERG,BROAD ROAD MEDI CENTRE 7700,SUMMIT CLINIC  (PTY) LTD,55,MENTAL HEALTH INSTITUTIONS,0670782,0216591100
WESTERN CAPE,CLAREMONT,BISHOPSCOURT EST,BISHOPSCOURT 7 MONTROSE AVENUE 7708,MONTROSE MANOR,55,MENTAL HEALTH INSTITUTIONS,0481564,0217979270
WESTERN CAPE,DURBANVILLE,ROSENPARK,BLOCK A BELVEDERE OFFICE PARK PASITA STREET 7750,TYGER VALLEY CLINIC,55,MENTAL HEALTH INSTITUTIONS,0498289,0219747660
WESTERN CAPE,FISH HOEK,KOMMETJIE,CNR MAIN & VAN IMHOFF WAY 7975,STEPPING STONES CLINIC (PTY) LTD,55,MENTAL HEALTH INSTITUTIONS,5500206,0217834230
WESTERN CAPE,FISH HOEK,SUN VALLEY,CNR SILVERMINE ROAD & PADDOCK DRIVE 7975,FAIRCARE HEALTH T/A NOORDHOEK MANOR HEALTHCARE,49,SUB ACUTE FACILITIES,0359467,0218155700
WESTERN CAPE,GEORGE,GEORGE,15 WINDSOR STREET 6529,AKESO CLINICS - GEORGE,55,MENTAL HEALTH INSTITUTIONS,0615021,0448050128
WESTERN CAPE,GEORGE,GEORGE,GROENKLOOF RETIREMENT VILLAGE GROENKLOOF AVENUE 6530,GROENKLOOF GEORGE CARE UNIT,49,SUB ACUTE FACILITIES,1090658,0448100801
WESTERN CAPE,GEORGE,GEORGE,7 VARING AVENUE 6529,MEDICLINIC GENEVA,57,HOSPITALS - PRIVATE,5709059,0448032000
WESTERN CAPE,GEORGE,GEORGE,CNR GLOUCESTER LANE & YORK STREET 6529,MEDICLINIC GEORGE,58,HOSPITALS - PRIVATE,5807905,0448032000
WESTERN CAPE,GEORGE,GEORGE,BERGVILLE RETIREMENT VILLAGE 8TH AVENUE 6529,SPESCARE GEORGE,49,SUB ACUTE FACILITIES,0773034,0448014198
WESTERN CAPE,GOODWOOD,N1 CITY,GROUND FLOOR BURNSIDE BUILDING SYFRED DOUGLAS STREET 7460,CLARO CLINIC,55,MENTAL HEALTH INSTITUTIONS,0164496,0215958500
WESTERN CAPE,GOODWOOD,N1 CITY,GROUND FLOOR N1 HOUSE NEELS BOTHMA STREET 7460,NURTURE CAPE VIEW,49,SUB ACUTE FACILITIES,0510580,0215951327
WESTERN CAPE,HERMANUS,HERMANUS,CNR RAVENSCROFT ROAD & HOSPITAL STREET 7200,MEDICLINIC HERMANUS,57,HOSPITALS - PRIVATE,5709091,0283130168
WESTERN CAPE,HERMANUS,HERMANUS,HERMANUS MEDICAL VILLAGE CNR DE GOEDE & CHURCH STREET 7200,SPESCARE HERMANUS,49,SUB ACUTE FACILITIES,0681482,0283122780
WESTERN CAPE,HERMANUS,ONRUS RIVER,27 CHANTECLAIR AVENUE 7201,ONRUS MANOR HEALTH CARE CENTRE,49,SUB ACUTE FACILITIES,0221856,0283165001
WESTERN CAPE,KLEINMOND,KLEINMOND,BOTRIVER ROAD 7195,KOGELPARK CLINIC,49,SUB ACUTE FACILITIES,0153486,0282713994
WESTERN CAPE,KNYSNA,KNYSNA,HUNTERS ESTATE HUNTERS ESTATE DRIVE 6571,KNYSNA PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,5808960,0443841083
WESTERN CAPE,LANSDOWNE,TURFHALL PARK,575 LANSDOWNE ROAD 7780,NEW JOURNEY TREATMENT CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0828998,0724311104
WESTERN CAPE,LUTZVILLE,LUTZVILLE,FARM 1411 8165,NAMAQUA TREATMENT CENTRE(PTY) LTD,47,DRUG AND ALCOHOL REHABILITATION,0359386,0272134506
WESTERN CAPE,MILNERTON,CENTURY CITY,CENTRAL PARK BUILDING 5 ON PARK LANE 7441,INTERCARE DAY HOSPITAL,77,CLINICS - DAY SURGERY,0597783,0213688885
WESTERN CAPE,MILNERTON,CENTURY CITY,7 CENTURY WAY 7441,OASIS CARE CENTRE,49,SUB ACUTE FACILITIES,0472670,0215287301
WESTERN CAPE,MOSSEL BAY,GROOTBRAKRIVIER,SANDHOOGTE ROAD 6525,GROENKLOOF SECURITY VILLAGE,49,SUB ACUTE FACILITIES,0300829,0446203624
WESTERN CAPE,MOSSEL BAY,MOSSEL BAY,CNR ALHOF DRIVE & RYK TULBACH STREET 6506,BAYVIEW HOSPITAL,58,HOSPITALS - PRIVATE,5808790,0446913718
WESTERN CAPE,MOSSEL BAY,MOSSEL BAY,ALHOF DRIVE 6506,VIDAMED SUB ACUTE HOSPITAL,49,SUB ACUTE FACILITIES,0609595,0446903402
WESTERN CAPE,OUDTSHOORN,OUDTSHOORN,PO BOX 1045 6625,MEDICLINIC KLEIN KAROO,58,HOSPITALS - PRIVATE,5808928,0442720111
WESTERN CAPE,PAARL,PAARL,GROENLEEGTE VILLAGE 11 CAMARQUE STREET 7646,CARE CURE PAARL,49,SUB ACUTE FACILITIES,0111287,0218728594
WESTERN CAPE,PAARL,PAARL,1 PINE STREET SOUTHERN PAARL 7646,DE OUDE RENBAAN SUB-ACUTE CLINIC,49,SUB ACUTE FACILITIES,0110337,0218632202
WESTERN CAPE,PAARL,PAARL,BERLYN STREET 7646,MEDICLINIC PAARL,58,HOSPITALS - PRIVATE,5808251,0218078000
WESTERN CAPE,PAARL,PAARL,CNR COLIGNY & PLEIN STREET 7646,SERENO CLINIC,55,MENTAL HEALTH INSTITUTIONS,0213055,0218726955
WESTERN CAPE,PAARL,PAARL,62 CNR OPTENHORST & BERLYN STREET 7646,SPESCARE PAARL,49,SUB ACUTE FACILITIES,0674761,0218711249
WESTERN CAPE,PAARL,SIMONDIUM,BLOEMENDAL FARM R45 7670,BLOEMENDAL CLINIC,55,MENTAL HEALTH INSTITUTIONS,0815837,0218633399
WESTERN CAPE,PAROW,PANORAMA,2ND FLOOR PANORAMA HEALTHCARE CENTRE CNR ROTHSCHILD BOULEVARD & HENNIE WINTERBACH STREET 7500,ADVANCED PANORAMA SURGICAL CENTRE (PTY) LTD,77,CLINICS - DAY SURGERY,0615005,0219113555
WESTERN CAPE,PAROW,PANORAMA,MEDICLINIC PANORAMA 1 ROTHSCHILD BOULEVARD 7500,MEDICLINIC PANORAMA,58,HOSPITALS - PRIVATE,5807913,0219382111
WESTERN CAPE,PAROW,PAROW EAST,54 TONER STREET 7500,RAMOT CENTRE FOR ALCOHOL AND DRUG ABUSE,47,DRUG AND ALCOHOL REHABILITATION,0051233,0219392033
WESTERN CAPE,PLETTENBERG BAY,HARKERVILLE,N2 HIGHWAY 6604,TYM TRADE CC T/A THE HAVEN ADDICTION RECOVERY CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0514705,0445327929
WESTERN CAPE,PLETTENBERG BAY,PLETTENBERG BAY,MULLER STREET 6600,MEDICLINIC PLETTENBERG BAY,58,HOSPITALS - PRIVATE,0283207,0445015100
